ID,Area,Priority,Package Weight (kg)
177,Giza,5,2.8
178,Downtown,2,0.9
179,Downtown,2,3.9
180,Ain Shams,3,0.7
181,Ain Shams,1,5.5
182,Ain Shams,4,2.1
183,Agouza,1,9.1
184,Agouza,4,8.6
185,Helwan,3,4.8
186,Ain Shams,5,7.6
187,5th Settlement,5,7.5
188,Madinaty,2,9.0
189,Madinaty,1,2.8
190,Shubra,2,3.9
191,Downtown,5,8.4
192,Shubra,5,5.4
193,Nasr City,1,5.7
194,Downtown,4,6.5
195,New Cairo,4,1.9
196,Rehab,3,3.3
197,Shubra,3,3.4
198,Ain Shams,3,7.5
199,Madinaty,1,8.4
200,Maadi,3,7.5
201,Zamalek,1,2.3
202,Garden City,2,7.6
203,Manial,2,8.4
204,Madinaty,1,2.5
205,Mohandessin,4,5.7
206,Helwan,2,7.0
207,Heliopolis,2,6.1
208,Heliopolis,5,9.7
209,6th of October,5,0.4
210,Shubra,4,6.8
211,Mohandessin,1,9.4
212,Garden City,1,6.0
213,6th of October,5,7.0
214,Agouza,1,8.1
215,Ain Shams,3,3.5
216,Giza,1,0.8
217,Madinaty,1,8.5
218,Helwan,4,4.4
219,Ain Shams,2,7.1
220,New Cairo,5,7.4
221,5th Settlement,4,8.1
222,Agouza,3,4.7
223,Garden City,1,3.3
224,Rehab,2,2.9
225,Agouza,5,7.5
226,Giza,1,6.7
227,Giza,2,5.0
228,Helwan,3,4.9
229,Manial,3,3.5
230,Sheikh Zayed,2,5.6
231,Ain Shams,4,0.9
232,Garden City,4,5.6
233,Madinaty,4,6.5
234,Zamalek,3,8.0
235,Garden City,3,2.3
236,Helwan,4,6.7
237,Helwan,4,5.6
238,5th Settlement,3,10.0
239,Rehab,3,3.6
240,Garden City,1,3.1
241,Giza,1,7.2
242,Dokki,2,7.5
243,Madinaty,3,2.2
244,Sheikh Zayed,5,7.3
245,Heliopolis,2,2.9
246,Helwan,2,3.0
247,5th Settlement,2,3.1
248,Maadi,5,2.8
249,Downtown,4,3.0
250,Nasr City,5,1.1
251,Madinaty,4,2.9
252,Maadi,3,3.5
253,Madinaty,1,9.4
254,Shubra,4,8.2
255,Maadi,2,0.8
256,Agouza,3,1.6
257,Garden City,1,0.9
258,Ain Shams,5,5.6
259,Manial,2,6.0
260,Shubra,4,7.8
261,6th of October,5,9.1
262,6th of October,5,9.9
263,Manial,1,6.2
264,Mohandessin,2,9.5
265,Zamalek,2,2.7
266,5th Settlement,1,2.5
267,Ain Shams,4,1.6
268,Madinaty,3,6.9
269,6th of October,3,0.4
270,Rehab,1,7.1
271,New Cairo,5,6.9
272,Mohandessin,4,6.6
273,Garden City,2,1.2
274,Downtown,1,9.1
275,6th of October,5,0.7
276,Agouza,3,7.5
277,Rehab,3,4.4
278,New Cairo,5,7.0
279,Rehab,1,5.4
280,Ain Shams,3,6.0
281,Nasr City,1,6.1
282,Agouza,5,2.4
283,New Cairo,5,9.5
284,Dokki,4,0.5
285,Rehab,3,5.2
286,Agouza,4,1.9
287,Madinaty,1,6.4
288,Ain Shams,3,4.8
289,Heliopolis,2,3.3
290,Madinaty,3,3.4
291,Shubra,5,6.7
292,Zamalek,3,0.5
293,Heliopolis,4,2.6
294,Nasr City,5,8.7
295,Maadi,2,4.7
296,Manial,4,5.2
297,Maadi,2,6.3
298,Downtown,3,2.7
299,Madinaty,1,4.4
300,Manial,2,0.4
301,6th of October,5,7.1
302,Ain Shams,1,0.2
303,Heliopolis,4,2.3
304,Downtown,4,9.5
305,6th of October,5,9.3
306,Ain Shams,4,7.1
307,Garden City,4,9.8
308,Shubra,2,5.6
309,Sheikh Zayed,2,9.2
310,New Cairo,4,8.7
311,Sheikh Zayed,3,3.5
312,6th of October,3,8.2
313,Agouza,4,8.4
314,Rehab,5,8.7
315,Giza,5,4.9
316,Shubra,4,7.7
317,Mohandessin,2,9.3
318,Garden City,4,5.8
319,Madinaty,4,0.5
320,Downtown,4,3.9
321,Downtown,5,9.7
322,Giza,1,9.7
323,Rehab,1,8.8
324,Rehab,1,5.3
325,Ain Shams,2,7.3
326,New Cairo,3,0.8
327,Shubra,1,6.3
328,5th Settlement,4,8.5
329,Madinaty,5,9.5
330,Zamalek,2,0.5
331,6th of October,2,6.3
332,Ain Shams,1,7.5
333,Heliopolis,4,7.6
334,6th of October,1,1.7
335,Maadi,3,0.6
336,Ain Shams,2,3.6
337,Ain Shams,5,2.5
338,Dokki,2,6.8
339,Manial,4,1.8
340,Garden City,4,6.2
341,Downtown,2,9.1
342,New Cairo,4,4.7
343,Nasr City,4,2.6
344,5th Settlement,2,9.0
345,Helwan,5,0.8
346,Ain Shams,3,3.1
347,6th of October,2,4.6
348,Madinaty,1,10.0
349,Agouza,3,2.4
350,6th of October,1,5.8
351,Shubra,3,9.8
352,Maadi,5,0.2
353,6th of October,2,7.5
354,Helwan,2,6.1
355,Manial,3,6.4
356,Downtown,1,6.8
357,Maadi,3,9.0
358,Maadi,5,7.9
359,Downtown,1,3.7
360,Giza,4,9.1
361,Downtown,5,1.8
362,Helwan,5,8.8
363,New Cairo,2,5.1
364,Madinaty,3,2.6
365,Giza,1,7.5
366,Zamalek,2,4.7
367,Garden City,4,7.6
368,5th Settlement,3,9.7
369,Shubra,1,1.0
370,Heliopolis,4,2.7
371,New Cairo,5,3.7
372,Helwan,1,3.9
373,Madinaty,1,6.8
374,5th Settlement,3,6.2
375,Garden City,1,9.2
376,Rehab,3,6.4
377,Heliopolis,2,6.5
378,Maadi,3,0.5
379,Heliopolis,1,10.0
380,5th Settlement,2,2.4
381,Helwan,5,3.9
382,Downtown,4,4.2
383,Madinaty,5,6.6
384,New Cairo,1,4.1
385,Mohandessin,4,6.9
386,Garden City,3,4.5
387,Helwan,5,1.1
388,Helwan,1,9.0
389,Mohandessin,1,4.0
390,Rehab,1,9.5
391,Manial,1,6.7
392,Giza,2,0.6
393,Agouza,2,9.9
394,5th Settlement,2,0.8
395,Garden City,3,5.9
396,Manial,1,7.8
397,Downtown,2,2.8
398,Dokki,1,5.4
399,Nasr City,2,6.6
400,Garden City,5,0.2
401,Dokki,3,3.3
402,Ain Shams,5,0.6
403,Zamalek,4,1.2
404,Helwan,5,4.5
405,Rehab,5,6.0
406,Manial,1,2.3
407,Sheikh Zayed,3,7.3
408,Nasr City,1,4.6
409,Shubra,4,10.0
410,Madinaty,4,6.9
411,Zamalek,3,0.8
412,Zamalek,2,6.1
413,Agouza,5,2.8
414,Shubra,5,7.2
415,Rehab,5,5.4
416,Heliopolis,1,6.1
417,5th Settlement,2,8.5
418,Garden City,4,4.4
419,Rehab,4,3.5
420,Heliopolis,3,4.2
421,New Cairo,3,4.3
422,Madinaty,1,9.5
423,Zamalek,1,1.0
424,Helwan,2,4.4
425,Agouza,5,5.6
426,Heliopolis,4,5.7
427,Ain Shams,1,3.6
428,Manial,3,9.7
429,Agouza,5,3.6
430,Madinaty,2,2.2
431,Helwan,5,8.5
432,New Cairo,5,3.7
433,Ain Shams,5,2.3
434,Manial,5,9.7
435,5th Settlement,1,6.8
436,New Cairo,1,6.1
437,6th of October,3,1.9
438,Dokki,2,3.6
439,Shubra,1,5.7
440,Nasr City,1,1.5
441,Mohandessin,4,7.5
442,Giza,2,4.3
443,Giza,5,3.8
444,Maadi,2,6.0
445,Manial,1,1.7
446,New Cairo,4,6.8
447,Madinaty,5,6.7
448,New Cairo,2,4.5
449,Heliopolis,3,7.6
450,6th of October,5,4.4
451,6th of October,1,4.9
452,Manial,1,2.3
453,6th of October,2,0.2
454,New Cairo,3,7.7
455,Nasr City,4,3.3
456,Dokki,2,7.5
457,Garden City,5,3.9
458,Helwan,1,5.6
459,Maadi,4,4.0
460,Zamalek,3,0.3
461,Agouza,4,5.8
462,Ain Shams,3,7.1
463,Nasr City,3,1.2
464,Manial,4,1.8
465,Helwan,1,8.3
466,Heliopolis,2,4.4
467,Shubra,5,4.4
468,6th of October,3,0.9
469,Dokki,1,2.3
470,Heliopolis,5,5.2
471,Helwan,3,5.1
472,Downtown,2,7.3
473,New Cairo,2,1.1
474,Downtown,1,1.8
475,Madinaty,4,1.9
476,Agouza,4,7.6
477,Agouza,5,6.8
478,Giza,2,3.3
479,Madinaty,4,4.5
480,New Cairo,5,6.4
481,Sheikh Zayed,1,0.7
482,Rehab,1,3.2
483,6th of October,1,0.7
484,Zamalek,5,6.5
485,Shubra,4,6.0
486,Maadi,4,5.8
487,Agouza,2,9.1
488,Madinaty,5,3.3
489,Maadi,4,1.6
490,Giza,1,1.1
491,Dokki,1,5.1
492,Rehab,4,2.6
493,Manial,2,5.3
494,6th of October,4,3.7
495,Giza,5,4.1
496,Giza,1,0.6
497,5th Settlement,4,3.4
498,Manial,2,2.9
499,Agouza,2,3.4
500,6th of October,4,9.2
501,Zamalek,3,1.4
502,Giza,2,5.6
503,Sheikh Zayed,1,6.7
504,Ain Shams,5,6.5
505,Helwan,3,3.7
506,Mohandessin,3,1.9
507,Madinaty,2,9.5
508,Downtown,2,2.3
509,Heliopolis,5,0.9
510,Sheikh Zayed,1,7.7
511,Manial,2,6.7
512,Downtown,2,6.0
513,Manial,2,1.9
514,Maadi,4,7.2
515,Garden City,4,3.7
516,Rehab,2,6.1
517,6th of October,4,5.4
518,Mohandessin,3,9.0
519,Agouza,4,6.8
520,6th of October,4,4.7
521,Ain Shams,2,5.1
522,Manial,2,8.2
523,Maadi,4,8.7
524,5th Settlement,1,8.8
525,Sheikh Zayed,1,7.1
526,Dokki,3,2.9
527,Sheikh Zayed,2,4.5
528,Zamalek,2,8.3
529,Helwan,1,8.2
530,Shubra,5,4.2
531,Shubra,1,3.8
532,Nasr City,3,3.8
533,Giza,2,9.3
534,6th of October,4,1.5
535,Downtown,4,7.0
536,Nasr City,1,4.5
537,Mohandessin,2,0.3
538,Manial,5,5.5
539,6th of October,2,4.3
540,Maadi,2,3.1
541,Manial,4,4.3
542,Madinaty,5,0.7
543,Sheikh Zayed,5,5.4
544,Downtown,3,2.5
545,Manial,3,4.3
546,Ain Shams,2,2.5
547,Zamalek,5,6.7
548,Zamalek,5,9.7
549,Sheikh Zayed,5,5.5
550,Madinaty,1,0.3
551,Helwan,3,6.4
552,Helwan,1,7.5
553,Heliopolis,5,3.5
554,Giza,2,7.4
555,5th Settlement,3,0.5
556,Dokki,4,8.2
557,Madinaty,2,9.8
558,Zamalek,4,8.1
559,Mohandessin,1,0.5
560,Maadi,3,7.9
561,Sheikh Zayed,4,9.3
562,5th Settlement,4,9.9
563,Mohandessin,3,2.6
564,Maadi,3,3.6
565,Helwan,4,2.8
566,Rehab,4,8.9
567,Dokki,4,3.5
568,Helwan,5,7.0
569,Zamalek,4,2.7
570,Manial,2,0.9
571,Giza,1,5.5
572,6th of October,3,0.9
573,Ain Shams,2,4.5
574,Helwan,4,6.9
575,Helwan,5,0.5
576,New Cairo,1,10.0
577,Shubra,3,0.8
578,Dokki,1,5.2
579,Manial,4,1.5
580,Zamalek,2,0.4
581,Helwan,3,7.8
582,Agouza,1,3.9
583,Rehab,3,6.1
584,Zamalek,5,3.8
585,Helwan,4,1.5
586,New Cairo,2,3.2
587,Nasr City,2,9.6
588,Shubra,5,5.0
589,New Cairo,4,1.3
590,Manial,3,2.2
591,Madinaty,2,7.0
592,Zamalek,4,1.3
593,Rehab,1,1.8
594,Giza,3,8.1
595,5th Settlement,5,7.1
596,6th of October,2,3.0
597,Dokki,3,7.1
598,Heliopolis,2,5.1
599,Garden City,4,7.9
600,5th Settlement,5,0.4
601,5th Settlement,2,3.8
602,Zamalek,1,6.2
603,Madinaty,5,3.2
604,Ain Shams,5,4.2
605,Giza,1,0.8
606,Sheikh Zayed,3,4.6
607,5th Settlement,5,1.4
608,Downtown,4,1.9
609,Maadi,1,5.1
610,6th of October,2,5.2
611,Garden City,3,1.7
612,Sheikh Zayed,3,9.5
613,New Cairo,2,8.5
614,5th Settlement,3,6.4
615,6th of October,5,1.3
616,Sheikh Zayed,2,5.4
617,Agouza,2,6.0
618,Manial,5,1.8
619,Agouza,1,3.4
620,Nasr City,1,8.3
621,Agouza,3,0.6
622,Agouza,4,6.5
623,Nasr City,4,6.2
624,5th Settlement,3,8.9
625,6th of October,4,6.5
626,Shubra,3,2.5
627,Maadi,2,4.6
628,Madinaty,4,4.5
629,Manial,2,2.1
630,Giza,3,3.2
631,Downtown,3,9.8
632,Heliopolis,3,5.2
633,Heliopolis,3,2.5
634,Downtown,1,4.6
635,Shubra,5,0.6
636,Dokki,3,4.2
637,Giza,2,9.3
638,Madinaty,5,7.7
639,6th of October,4,4.7
640,Shubra,5,0.3
641,Garden City,2,4.6
642,Maadi,1,5.9
643,Manial,4,2.9
644,Nasr City,1,2.9
645,New Cairo,3,4.4
646,Helwan,1,7.7
647,Agouza,5,4.1
648,5th Settlement,3,2.0
649,Sheikh Zayed,4,0.8
650,New Cairo,5,7.7
651,Heliopolis,2,6.8
652,Shubra,3,9.8
653,Giza,5,8.0
654,Downtown,2,9.4
655,Shubra,5,6.1
656,Maadi,2,0.5
657,Madinaty,5,7.2
658,Manial,5,4.6
659,Manial,3,1.5
660,Manial,3,1.7
661,Sheikh Zayed,5,6.0
662,Agouza,3,5.4
663,Nasr City,3,4.8
664,Heliopolis,4,3.4
665,Nasr City,5,5.9
666,Agouza,5,4.8
667,Maadi,5,2.4
668,Sheikh Zayed,5,4.9
669,Shubra,2,7.8
670,Garden City,1,8.2
671,Heliopolis,2,5.8
672,Giza,4,0.3
673,Mohandessin,4,1.6
674,Manial,4,5.1
675,Maadi,2,8.7
676,5th Settlement,3,5.2
677,Madinaty,5,10.0
678,Dokki,4,3.8
679,Giza,5,9.1
680,New Cairo,5,3.6
681,Garden City,3,4.9
682,Garden City,3,5.6
683,Mohandessin,4,7.7
684,Helwan,5,3.2
685,New Cairo,3,9.3
686,5th Settlement,4,1.3
687,Shubra,3,9.0
688,Downtown,3,9.6
689,Zamalek,3,0.5
690,New Cairo,4,9.2
691,5th Settlement,3,2.2
692,New Cairo,2,9.3
693,Agouza,2,1.2
694,Sheikh Zayed,2,2.5
695,Maadi,1,6.4
696,Madinaty,1,4.2
697,Downtown,1,6.8
698,Dokki,4,9.6
699,Madinaty,4,6.6
700,6th of October,3,6.5
701,Maadi,1,2.9
702,Garden City,5,6.6
703,Maadi,2,7.4
704,Dokki,1,4.2
705,Shubra,4,10.0
706,6th of October,1,1.9
707,Agouza,5,0.2
708,Giza,3,1.2
709,5th Settlement,5,4.6
710,Downtown,5,5.0
711,Mohandessin,1,4.7
712,Rehab,3,3.4
713,Nasr City,3,7.2
714,Agouza,2,7.9
715,Shubra,4,1.8
716,Zamalek,4,5.2
717,Dokki,2,6.7
718,Garden City,1,4.8
719,Garden City,4,2.7
720,Giza,3,7.6
721,Agouza,1,5.9
722,Helwan,2,2.7
723,Heliopolis,4,0.7
724,Shubra,5,3.1
725,6th of October,1,9.2
726,6th of October,3,6.4
727,Garden City,2,6.2
728,Rehab,5,4.8
729,5th Settlement,4,3.8
730,Mohandessin,2,7.6
731,Manial,1,6.8
732,Sheikh Zayed,3,5.3
733,Agouza,1,0.9
734,5th Settlement,5,0.7
735,5th Settlement,2,2.1
736,Sheikh Zayed,4,1.7
737,Mohandessin,5,1.3
738,Sheikh Zayed,4,4.9
739,Rehab,2,8.1
740,Rehab,5,5.2
741,Rehab,3,0.7
742,Shubra,3,7.3
743,Mohandessin,5,8.2
744,Ain Shams,3,0.8
745,5th Settlement,1,7.0
746,Zamalek,4,9.4
747,Ain Shams,2,0.4
748,Ain Shams,3,7.7
749,Shubra,4,9.9
750,Shubra,4,8.7
751,5th Settlement,2,0.9
752,Helwan,1,6.6
753,5th Settlement,4,1.9
754,Garden City,1,5.3
755,6th of October,4,7.6
756,5th Settlement,4,6.8
757,Garden City,2,5.4
758,Downtown,3,4.7
759,Heliopolis,1,2.0
760,Ain Shams,5,8.1
761,Nasr City,2,7.7
762,Heliopolis,5,2.1
763,Manial,1,0.4
764,Maadi,4,2.5
765,5th Settlement,2,4.4
766,Maadi,2,7.6
767,6th of October,2,5.1
768,Agouza,3,8.2
769,Giza,2,5.8
770,Downtown,5,3.1
771,6th of October,3,2.3
772,Agouza,2,0.7
773,Ain Shams,5,6.3
774,Helwan,4,5.0
775,Giza,4,7.9
776,6th of October,4,4.1
777,5th Settlement,4,1.9
778,Garden City,3,2.5
779,Downtown,4,8.6
780,5th Settlement,4,9.2
781,5th Settlement,5,9.7
782,Garden City,3,1.4
783,Zamalek,4,2.1
784,Zamalek,5,8.5
785,Mohandessin,1,7.3
786,Manial,5,2.8
787,Zamalek,2,0.5
788,Agouza,5,8.1
789,Mohandessin,3,2.2
790,Nasr City,2,3.1
791,Heliopolis,4,9.4
792,Manial,2,9.2
793,Garden City,5,4.0
794,6th of October,4,3.3
795,Helwan,3,4.7
796,Sheikh Zayed,4,2.7
797,Madinaty,3,4.7
798,Helwan,3,9.2
799,Agouza,2,4.2
800,Nasr City,3,7.4
801,Agouza,5,5.6
802,6th of October,2,7.2
803,Garden City,4,2.0
804,Garden City,4,5.7
805,Giza,3,5.6
806,Madinaty,4,7.7
807,Helwan,2,4.7
808,5th Settlement,4,1.5
809,5th Settlement,1,1.9
810,Zamalek,1,5.3
811,Ain Shams,2,7.7
812,Garden City,1,8.4
813,Nasr City,2,7.1
814,Helwan,1,5.1
815,Manial,4,6.2
816,Nasr City,1,6.6
817,Ain Shams,1,5.4
818,New Cairo,5,0.3
819,Nasr City,5,9.8
820,Ain Shams,2,8.2
821,Heliopolis,5,1.2
822,Mohandessin,5,1.6
823,Helwan,3,5.3
824,Zamalek,3,8.0
825,Rehab,5,9.6
826,Garden City,3,2.5
827,Zamalek,1,6.9
828,Shubra,4,1.0
829,Maadi,1,5.6
830,Zamalek,4,7.1
831,Giza,5,8.5
832,Heliopolis,5,9.8
833,Garden City,2,9.2
834,Agouza,4,9.0
835,Zamalek,3,2.8
836,Agouza,1,9.0
837,Giza,1,1.9
838,Agouza,2,9.6
839,Shubra,1,7.5
840,Agouza,2,3.1
841,Shubra,5,5.7
842,Downtown,1,3.4
843,Helwan,1,5.1
844,Garden City,1,1.1
845,Manial,5,3.5
846,Giza,1,4.0
847,Rehab,4,6.4
848,5th Settlement,4,2.4
849,Agouza,4,4.4
850,Manial,3,0.9
851,Zamalek,1,8.0
852,Shubra,2,2.8
853,Giza,3,7.4
854,Nasr City,3,1.2
855,New Cairo,1,4.5
856,Dokki,4,1.4
857,5th Settlement,5,4.5
858,Nasr City,1,4.1
859,Zamalek,5,3.6
860,Giza,4,6.0
861,Ain Shams,4,0.2
862,5th Settlement,2,7.8
863,Dokki,4,5.8
864,New Cairo,3,1.8
865,Downtown,1,2.8
866,New Cairo,4,1.8
867,Zamalek,3,3.1
868,Garden City,4,2.6
869,Mohandessin,4,6.0
870,6th of October,1,1.2
871,Giza,5,9.5
872,Giza,4,3.9
873,Manial,2,3.4
874,Manial,2,3.1
875,Dokki,4,4.8
876,6th of October,4,9.7
877,Garden City,3,9.7
878,Shubra,3,3.8
879,Agouza,2,1.2
880,5th Settlement,2,6.0
881,5th Settlement,1,6.8
882,Rehab,2,9.5
883,6th of October,1,4.4
884,Ain Shams,4,8.2
885,6th of October,2,1.5
886,Downtown,4,2.6
887,Zamalek,4,7.9
888,Madinaty,5,9.9
889,Sheikh Zayed,4,4.1
890,Helwan,5,5.5
891,Zamalek,1,6.0
892,Helwan,2,7.7
893,Maadi,5,6.5
894,Shubra,3,9.8
895,Ain Shams,1,9.7
896,New Cairo,2,0.2
897,Sheikh Zayed,5,5.2
898,Agouza,2,5.8
899,Shubra,4,4.5
900,Agouza,5,7.7
901,Nasr City,4,1.6
902,Ain Shams,1,1.1
903,Downtown,3,1.2
904,Rehab,2,3.2
905,Helwan,4,5.3
906,Rehab,3,1.1
907,Maadi,1,0.8
908,Giza,1,0.3
909,Dokki,2,6.8
910,5th Settlement,2,5.2
911,Ain Shams,4,3.4
912,Shubra,2,2.4
913,Ain Shams,4,1.9
914,Manial,2,0.4
915,Ain Shams,4,4.6
916,Mohandessin,2,0.1
917,Zamalek,5,2.9
918,5th Settlement,2,1.1
919,Mohandessin,4,3.7
920,Madinaty,5,1.2
921,Giza,5,9.7
922,Shubra,5,3.9
923,Helwan,4,1.2
924,6th of October,5,6.2
925,Downtown,3,5.9
926,6th of October,1,1.3
927,Downtown,5,1.9
928,Manial,2,3.9
929,Ain Shams,2,5.8
930,5th Settlement,2,4.9
931,Madinaty,3,5.6
932,Giza,4,1.5
933,Helwan,1,6.2
934,Mohandessin,4,4.9
935,Sheikh Zayed,4,9.6
936,Madinaty,4,4.2
937,Rehab,4,7.1
938,Agouza,1,1.8
939,Garden City,3,8.0
940,Garden City,5,0.4
941,Rehab,5,3.0
942,Madinaty,5,7.5
943,Agouza,1,5.2
944,5th Settlement,3,2.8
945,Maadi,4,5.5
946,Ain Shams,1,5.5
947,Garden City,3,7.4
948,Maadi,4,8.8
949,Zamalek,4,2.7
950,Heliopolis,2,8.7
951,Agouza,3,2.2
952,Manial,4,8.6
953,Downtown,2,1.7
954,Maadi,5,8.2
955,New Cairo,5,3.6
956,Giza,3,5.4
957,New Cairo,5,3.0
958,Heliopolis,2,9.9
959,Ain Shams,1,9.6
960,Downtown,2,9.9
961,Giza,2,2.6
962,Shubra,4,7.6
963,New Cairo,4,1.5
964,Zamalek,1,3.8
965,New Cairo,3,4.1
966,Madinaty,3,4.6
967,Zamalek,4,5.9
968,Helwan,1,6.4
969,Shubra,2,8.0
970,Mohandessin,4,9.7
971,6th of October,3,2.8
972,Downtown,5,5.5
973,Giza,1,8.5
974,Rehab,1,0.6
975,Dokki,4,1.3
976,Ain Shams,2,4.6
977,Downtown,3,10.0
978,New Cairo,1,1.7
979,New Cairo,1,6.6
980,Dokki,1,3.8
981,6th of October,2,4.0
982,Zamalek,1,4.3
983,Madinaty,1,0.1
984,Garden City,5,1.4
985,Nasr City,1,6.8
986,Heliopolis,4,7.0
987,Madinaty,1,7.0
988,Zamalek,1,2.4
989,Helwan,3,1.1
990,Downtown,2,1.5
991,Agouza,1,0.8
992,Dokki,4,6.1
993,Mohandessin,2,3.6
994,Manial,4,9.2
995,Zamalek,1,8.6
996,Heliopolis,5,1.5
997,Helwan,4,7.3
998,Downtown,2,3.2
999,Zamalek,2,2.8
1000,Manial,5,5.6
1001,Nasr City,3,2.9
1002,Manial,5,2.1
1003,Shubra,3,2.0
1004,Garden City,4,6.5
1005,Garden City,4,3.9
1006,Zamalek,5,6.4
1007,Nasr City,3,8.9
1008,Downtown,4,9.3
1009,Agouza,4,8.6
1010,Dokki,4,3.7
1011,Zamalek,1,9.5
1012,Nasr City,3,5.9
1013,Maadi,4,2.2
1014,Sheikh Zayed,4,5.1
1015,Shubra,1,4.3
1016,5th Settlement,5,6.4
1017,Zamalek,3,1.6
1018,Mohandessin,2,0.9
